"","IndividualID","Year","Income","CreditScore","Age","Education","CreditCardBalance","Default"
"1",1,2019,3.5,615,42,"College",0.64,0
"2",1,2020,6.3,694,43,"College",6.58,0
"3",1,2021,2.4,643,44,"College",0,0
"4",1,2022,8.7,594,45,"College",13.35,0
"5",1,2023,8.6,673,46,"College",13.18,0
"6",2,2019,5.3,726,40,"Graduate",3.92,0
"7",2,2020,8,672,41,"Graduate",14.25,0
"8",2,2021,3.7,660,42,"Graduate",0,0
"9",2,2022,1.6,617,43,"Graduate",0,0
"10",2,2023,5,678,44,"Graduate",3.09,0
"11",3,2019,5.2,596,44,"High School",6.02,0
"12",3,2020,4.1,567,45,"High School",1.76,0
"13",3,2021,2.7,648,46,"High School",0,0
"14",3,2022,5.6,648,47,"High School",6.36,0
"15",3,2023,1.2,768,48,"High School",0,0
"16",4,2019,8,589,47,"College",10.37,0
"17",4,2020,6,659,48,"College",6.05,0
"18",4,2021,6.8,690,49,"College",9.66,0
"19",4,2022,5.2,703,50,"College",3.69,0
"20",4,2023,3.5,649,51,"College",0,0
"21",5,2019,5.2,613,46,"Graduate",4.8,0
"22",5,2020,8.1,647,47,"Graduate",10.08,0
"23",5,2021,6.3,747,48,"Graduate",7.64,0
"24",5,2022,4.6,674,49,"Graduate",4.22,0
"25",5,2023,8.3,548,50,"Graduate",13.25,0
"26",6,2019,3.9,721,30,"High School",0.37,0
"27",6,2020,6.2,677,31,"High School",6.66,0
"28",6,2021,5.1,648,32,"High School",5.78,0
"29",6,2022,3.4,649,33,"High School",0.01,0
"30",6,2023,6,643,34,"High School",8.23,0
"31",7,2019,3.1,663,48,"High School",1.14,0
"32",7,2020,5.9,625,49,"High School",6.32,0
"33",7,2021,5,664,50,"High School",4.6,0
"34",7,2022,2.2,603,51,"High School",0,0
"35",7,2023,6.6,660,52,"High School",7.38,0
"36",8,2019,5.9,705,41,"High School",4.6,0
"37",8,2020,2.3,675,42,"High School",0,0
"38",8,2021,6,702,43,"High School",5.13,0
"39",8,2022,4.8,595,44,"High School",3.83,0
"40",8,2023,5,653,45,"High School",2.99,0
"41",9,2019,8.5,681,45,"College",13.32,0
"42",9,2020,7.5,597,46,"College",11.47,0
"43",9,2021,5.1,728,47,"College",3.42,0
"44",9,2022,5.7,598,48,"College",6.09,0
"45",9,2023,3.2,658,49,"College",6.2,0
"46",10,2019,1.7,658,39,"High School",0,0
"47",10,2020,4.5,656,40,"High School",2.14,0
"48",10,2021,1.1,639,41,"High School",0,0
"49",10,2022,8.8,672,42,"High School",15.17,0
"50",10,2023,9.9,598,43,"High School",11.99,1
"51",11,2019,7.4,586,44,"Graduate",10.11,1
"52",11,2020,8.4,617,45,"Graduate",14.05,0
"53",11,2021,9,647,46,"Graduate",9.81,0
"54",11,2022,5.9,713,47,"Graduate",6.24,0
"55",11,2023,6,729,48,"Graduate",6.28,0
"56",12,2019,3.5,666,50,"High School",0.82,0
"57",12,2020,6.9,669,51,"High School",6.9,0
"58",12,2021,3.2,638,52,"High School",0,0
"59",12,2022,3.6,652,53,"High School",3.59,0
"60",12,2023,7.4,580,54,"High School",8.22,0
"61",13,2019,7.5,664,39,"Graduate",9.22,0
"62",13,2020,2.6,623,40,"Graduate",0,0
"63",13,2021,3.8,667,41,"Graduate",0.99,0
"64",13,2022,4.3,633,42,"Graduate",2.35,0
"65",13,2023,1.7,617,43,"Graduate",0,0
"66",14,2019,7.4,639,43,"College",10.75,0
"67",14,2020,6,632,44,"College",6.94,0
"68",14,2021,2.2,705,45,"College",0,0
"69",14,2022,9.8,660,46,"College",22.72,0
"70",14,2023,6.1,672,47,"College",6.1,0
"71",15,2019,8.1,588,45,"High School",11.89,0
"72",15,2020,8.6,725,46,"High School",13.6,0
"73",15,2021,8.9,658,47,"High School",16.83,0
"74",15,2022,8.2,607,48,"High School",11.64,0
"75",15,2023,6.8,665,49,"High School",8.99,0
